dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time,pipeline_digest,paradigm_digest,evaluation,moecog_version,computed_at
Miller2019-motor_basic,bp,0,HighGamma + LDA,accuracy,1.0,2,chronological,48,12,47,0.1496119499206543,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:10:50
Miller2019-motor_basic,bp,0,HighGamma + LDA,balanced_accuracy,1.0,2,chronological,48,12,47,0.1496119499206543,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:10:50
Miller2019-motor_basic,bp,0,LogBandPower + LDA,kappa,1.0,2,chronological,48,12,47,0.1482770442962646,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:10:50
Miller2019-motor_basic,bp,0,LogBandPower + LDA,accuracy,1.0,2,chronological,48,12,47,0.1482770442962646,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:10:50
Miller2019-motor_basic,bp,0,LogBandPower + LDA,balanced_accuracy,1.0,2,chronological,48,12,47,0.1482770442962646,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:10:50
Miller2019-motor_basic,bp,0,LogBandPower + LogReg,kappa,1.0,2,chronological,48,12,47,0.14329195022583,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:10:50
Miller2019-motor_basic,bp,0,LogBandPower + LogReg,accuracy,1.0,2,chronological,48,12,47,0.14329195022583,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:10:50
Miller2019-motor_basic,bp,0,LogBandPower + LogReg,balanced_accuracy,1.0,2,chronological,48,12,47,0.14329195022583,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:10:50
Miller2019-motor_basic,bp,0,Riemann TS + LogReg,kappa,0.6666666666666667,2,chronological,48,12,47,0.2120850086212158,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:10:50
Miller2019-motor_basic,bp,0,Riemann TS + LogReg,accuracy,0.8333333333333334,2,chronological,48,12,47,0.2120850086212158,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:10:50
